epoch,classification_loss,feature_loss,loss
0,6.981100454563048,1.7318853764999202,4.3564929148045985
1,6.943217149594935,0.7678205356365297,3.8555188469770476
2,6.915782358588242,0.7079414085644048,3.8118618639504036
3,6.5402664789339395,0.6452155629309212,3.592741030018504
4,5.834871582868622,0.4983330041897006,3.1666022917119467
0,5.7346219202367275,0.8207736931196074,3.2776977957748787
1,5.137911587226681,0.43013743511060387,2.784024500265354
2,4.587721359439012,0.17601857298031087,2.381869961575764
3,4.071299843671845,0.060415941949297745,2.065857884360523
4,3.533208469065224,0.019868615742136792,1.7765385406773264
0,4.404896637288536,0.7624732190515937,2.5836849154495614
1,3.60255864771401,0.37021114477297157,1.9863849093274373
2,2.827688118306602,0.11805219784742449,1.472870160893696
3,2.0770235555927927,0.03899502885959497,1.0580092915674535
4,1.4655559964296294,0.019090258834383835,0.742323125280985
0,2.5085904888990447,0.512618626763181,1.5106045531063546
1,1.6783749068655618,0.18151773257953366,0.9299463149977893
2,0.9746311655858668,0.03879259245061293,0.5067118806083027
3,0.5494845807552338,0.012559731593128384,0.2810221561571447
4,0.31312838632886003,0.0059656282523419795,0.15954700693851565
0,1.7688913984996517,0.4583955374432773,1.1136434703338436
1,1.2288751602172852,0.23084868072736553,0.7298619223804008
2,0.5462601882655446,0.06346507238723882,0.3048626322571824
3,0.19773160720743785,0.011584868467208452,0.10465823786287773
4,0.07788554324609477,0.00344252023596044,0.04066403173818821
0,1.1730567929221363,0.40163153409957886,0.787344159149542
1,0.59953809293305,0.1463756785705322,0.37295688616066447
2,0.18961791367065617,0.029235860480495344,0.1094268877513525
3,0.06179081176112338,0.00473470805303716,0.033262759946831845
4,0.03441479888449355,0.0019090596597823428,0.018161929189795402
0,1.1696103091646985,0.3918941048223798,0.7807522030865274
1,0.8250678108959664,0.23343540128411316,0.5292516030916353
2,0.28104748195264395,0.07078524638058209,0.175916363916746
3,0.07367054981792845,0.011540732414620678,0.04260564113898975
4,0.024524248545853104,0.0024890010216750387,0.013506624824935344
0,0.8440760199616595,0.33792229142130875,0.5909991551463197
1,0.46995096126707586,0.16086380147352453,0.31540738409612235
2,0.12266721921723063,0.03157134242810127,0.07711928092488428
3,0.03353617208578238,0.004629118927391019,0.019082645499488203
